order_id,order_type,num_items,total_prep_weight,item_details,placed_at,completed_at,actual_time_min,naive_estimate_min,dynamic_estimate_min,naive_error_min,dynamic_error_min,queue_depth_at_placement,active_workers_at_placement,available_drivers_at_placement,rush_active_at_placement,driver_wait_min,driver_id,order_revenue
182A690F,delivery,5,9.4,"[{""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}, {""name"": ""Sausage"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}, {""name"": ""Pepperoni"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}]",45.878,79.373,33.495,15.777,25.121,-17.718,-8.374,9,3,0,False,8.145,D2,65.0
358AB296,carryout,5,9.4,"[{""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}, {""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}, {""name"": ""Custom (2 toppings)"", ""prep_weight"": 1.4, ""price"": 12.0}, {""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}, {""name"": ""Sausage"", ""prep_weight"": 1.4, ""price"": 10.0}]",53.758,78.437,24.679,16.798,25.641,-7.881,0.962,16,3,0,True,0.0,,67.0
15BE56C2,delivery,4,7.8,"[{""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}, {""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}, {""name"": ""Custom (8 toppings)"", ""prep_weight"": 2.6, ""price"": 18.0}, {""name"": ""Cheese"", ""prep_weight"": 1.2, ""price"": 10.0}]",52.863,82.192,29.329,16.798,30.052,-12.531,0.723,12,3,0,True,2.315,D1,58.0
653C0034,delivery,1,2.6,"[{""name"": ""Supreme"", ""prep_weight"": 2.6, ""price"": 15.0}]",53.378,83.345,29.967,16.798,29.905,-13.169,-0.062,14,3,0,True,0.0,D3,15.0
64EC6163,carryout,5,10.6,"[{""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}, {""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}, {""name"": ""Cheese"", ""prep_weight"": 1.2, ""price"": 10.0}, {""name"": ""Supreme"", ""prep_weight"": 2.6, ""price"": 15.0}, {""name"": ""Supreme"", ""prep_weight"": 2.6, ""price"": 15.0}]",53.886,81.989,28.103,16.798,29.173,-11.305,1.07,17,3,0,True,0.0,,70.0
C5156554,carryout,4,5.8,"[{""name"": ""Cheese"", ""prep_weight"": 1.2, ""price"": 10.0}, {""name"": ""Sausage"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Custom (5 toppings)"", ""prep_weight"": 2.0, ""price"": 15.0}, {""name"": ""Custom (1 toppings)"", ""prep_weight"": 1.2, ""price"": 11.0}]",54.42,89.307,34.886,16.798,35.466,-18.088,0.58,20,3,0,False,0.0,,46.0
28138A5C,delivery,4,8.0,"[{""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}, {""name"": ""Supreme"", ""prep_weight"": 2.6, ""price"": 15.0}, {""name"": ""Sausage"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}]",54.065,96.947,42.883,16.798,41.387,-26.085,-1.496,18,3,0,True,4.137,D4,55.0
74013BD2,delivery,5,8.2,"[{""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}, {""name"": ""Sausage"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Custom (5 toppings)"", ""prep_weight"": 2.0, ""price"": 15.0}, {""name"": ""Pepperoni"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Cheese"", ""prep_weight"": 1.2, ""price"": 10.0}]",54.319,99.181,44.863,16.798,43.887,-28.065,-0.975,19,3,0,True,3.212,D2,60.0
2D5B4B32,delivery,6,11.8,"[{""name"": ""Supreme"", ""prep_weight"": 2.6, ""price"": 15.0}, {""name"": ""Pepperoni"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Sausage"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Custom (2 toppings)"", ""prep_weight"": 1.4, ""price"": 12.0}, {""name"": ""Custom (7 toppings)"", ""prep_weight"": 2.4, ""price"": 17.0}, {""name"": ""Supreme"", ""prep_weight"": 2.6, ""price"": 15.0}]",56.003,105.422,49.419,16.976,48.449,-32.443,-0.97,19,3,0,False,0.0,D1,79.0
3D6D2032,carryout,3,4.6,"[{""name"": ""Sausage"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Custom (1 toppings)"", ""prep_weight"": 1.2, ""price"": 11.0}, {""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}]",66.373,105.286,38.913,20.01,39.387,-18.902,0.474,19,3,0,False,0.0,,36.0
BFA11CD9,delivery,6,11.2,"[{""name"": ""Custom (3 toppings)"", ""prep_weight"": 1.6, ""price"": 13.0}, {""name"": ""Veggie"", ""prep_weight"": 2.2, ""price"": 15.0}, {""name"": ""Sausage"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Sausage"", ""prep_weight"": 1.4, ""price"": 10.0}, {""name"": ""Supreme"", ""prep_weight"": 2.6, ""price"": 15.0}, {""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}]",58.403,109.175,50.772,18.164,49.72,-32.609,-1.053,19,3,0,False,0.0,D3,78.0
0D3ED9FF,carryout,3,5.2,"[{""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}, {""name"": ""Meat Lovers"", ""prep_weight"": 2.0, ""price"": 15.0}, {""name"": ""Cheese"", ""prep_weight"": 1.2, ""price"": 10.0}]",69.515,108.709,39.195,19.567,39.709,-19.628,0.514,19,3,0,False,0.0,,40.0
